trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
639,False,"{'a': 0.005, 'e': 0.040966525376082925}",30,10,32.57721978039163,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.005, 'e': 0.04076220397836621}",20,1,-11.627372915111344,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
641,False,"{'a': 0.005, 'e': 0.040558901637871986}",20,0,28.83889711606891,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
642,False,"{'a': 0.005, 'e': 0.04035661327203115}",25,7,31.204978801770924,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
643,False,"{'a': 0.005, 'e': 0.040155333823624025}",30,12,31.190698686743353,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.005, 'e': 0.039955058260653896}",30,0,41.08508624318611,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.005, 'e': 0.039755781576221304}",20,10,5.667049387911003,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
646,False,"{'a': 0.005, 'e': 0.039557498788398725}",25,11,14.771014939397595,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
647,False,"{'a': 0.005, 'e': 0.03936020494010615}",25,7,28.23195354561728,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.005, 'e': 0.039163895098987066}",25,19,11.481288037563136,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.005, 'e': 0.03896856435728526}",20,10,17.762391731529053,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.005, 'e': 0.03877420783172201}",25,15,18.29224921926609,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.005, 'e': 0.03858082066337404}",30,0,-3.492910886150228,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
652,False,"{'a': 0.005, 'e': 0.038388398017552054}",25,16,21.656410259228124,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
653,False,"{'a': 0.005, 'e': 0.038196935083679925}",20,13,10.381046363507775,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.005, 'e': 0.038006427075174314}",20,3,28.872824809308305,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.005, 'e': 0.03781686922932508}",20,1,29.534426112973595,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.005, 'e': 0.0376282568071762}",20,1,24.259206772096547,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.005, 'e': 0.03744058509340732}",20,5,23.78693994278589,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.005, 'e': 0.03725384939621581}",25,18,13.879100477948668,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.005, 'e': 0.0370680450471995}",25,8,31.88645322655984,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.005, 'e': 0.036883167401239994}",25,11,26.859275996851018,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.005, 'e': 0.03669921183638653}",20,8,18.332381067824755,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.005, 'e': 0.0365161737537404}",25,15,20.01008890912702,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.005, 'e': 0.036334048577339996}",30,5,45.35017056450496,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.005, 'e': 0.03615283175404641}",20,6,22.093535425019915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.005, 'e': 0.035972518753429654}",30,0,41.9253452181717,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
666,False,"{'a': 0.005, 'e': 0.0357931050676553}",25,11,22.93219271898092,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.005, 'e': 0.03561458621137186}",20,12,17.49698932310875,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.005, 'e': 0.03543695772159864}",20,11,15.715375060481911,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.005, 'e': 0.03526021515761412}",30,9,3.1771307347964597,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
670,False,"{'a': 0.005, 'e': 0.035084354100845025}",30,11,29.687592169114108,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
